reference_ID,reference_name,reference_CAS,reference_LABEL,match_status,match_method,master_ID,master_name,master_LABEL,label_agrees
41,Mandipropamid,374726-62-2,0,matched,canonical_smiles,648.0,4-Chloro-N-[2-[3-methoxy-4-(2-propynyloxy)phenyl]ethyl]-alpha-(2-propynyloxy)benzeneacetamide,0.0,True
42,MCPA,94-74-6,0,matched,canonical_smiles,137.0,2-(4-Chloro-2-methylphenoxy)acetic acid,0.0,True
43,Mesotrione,104206-82-8,0,matched,canonical_smiles,665.0,Mesotrione (Ref: ZA 1296),1.0,False
44,Metaldehyde,108-62-3,0,matched,canonical_smiles,857.0,Metaldehyde,0.0,True
45,Metolachlor,51218-45-2,0,matched,canonical_smiles,418.0,2-Chloro-N-(2-ethyl-6-methylphenyl)-N-(2-methoxy-1-methylethyl)acetamide,0.0,True
46,Myclobutanil,88671-89-0,0,matched,canonical_smiles,497.0,"alpha-Butyl-alpha-(4-chlorophenyl)-1H-1,2,4-triazole-1-propanenitrile",0.0,True
47,Novaluron,116714-46-6,0,matched,canonical_smiles,629.0,"N-[[[3-Chloro-4-[1,1,2-trifluoro-2-(trifluoromethoxy)ethoxy]phenyl]amino]carbonyl]-2,6-difluorobenzamide",0.0,True
48,Oxamyl,23135-22-0,1,matched,cas,273.0,2-(Dimethylamino)-N-[[(methylamino)carbonyl]oxy]-2-oxo-ethanimidothioic acid methyl ester,1.0,True
49,Oxyfluorfen,42874-03-3,0,matched,canonical_smiles,400.0,2-Chloro-1-(3-ethoxy-4-nitrophenoxy)-4-(trifluoromethyl)benzene,0.0,True
50,Pendimethalin,40487-42-1,0,matched,canonical_smiles,63.0,"N-(1-Ethylpropyl)-3,4-dimethyl-2,6-dinitro-benzenamine",0.0,True
51,Penoxsulam,219714-96-2,0,matched,canonical_smiles,987.0,"2-(2,2-Difluoroethoxy)-N-(5,8-dimethoxy[1,2,4]triazolo[1,5-c]pyrimidin-2-yl)-6-(trifluoromethyl)benzenesulfonamide",0.0,True
52,Permethrin,52645-53-1,1,matched,canonical_smiles,159.0,"3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid, (3-Phenoxyphenyl)methyl ester",1.0,True
53,Phenmedipham,13684-63-4,0,matched,canonical_smiles,102.0,(3-Methylphenyl)carbamic acid 3-[(methoxycarbonyl)amino]phenyl ester,0.0,True
54,Propanil,709-98-8,0,matched,canonical_smiles,39.0,"N-(3,4-Dichlorophenyl)propanamide",0.0,True
55,Propargite,2312-35-8,0,matched,canonical_smiles,881.0,"2-[4-(1,1-Dimethylethyl)phenoxy]cyclohexyl 2-propynyl ester sulfurous acid",0.0,True
56,Prothioconazole,178928-70-6,0,matched,canonical_smiles,980.0,"2-[2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl]-1,2-dihydro-3H-1,2,4-triazole-3-thione",0.0,True
57,Pymetrozine,123312-89-0,0,matched,cas,601.0,"4,5-Dihydro-6-methyl-4-[(E)-(3-pyridinylmethylene)amino]-1,2,4-triazin-3(2H)-one",0.0,True
58,Pyraclostrobin,175013-18-0,0,matched,canonical_smiles,125.0,[2-[[[1-(4-Chlorophenyl)-1H-pyrazol-3-yl]oxy]methyl]phenyl]methoxycarbamic acid methyl ester,0.0,True
59,Pyridaben,96489-71-3,1,matched,canonical_smiles,538.0,"4-Chloro-2-(1,1-dimethylethyl)-5-[[[4-(1,1-dimethylethyl)phenyl]methyl]thio]-3(2H)pyridazinene",1.0,True
60,Pyrimethanil,53112-28-0,0,matched,canonical_smiles,547.0,"4,6-Dimethyl-N-phenyl-2-pyrimidinamine",0.0,True
61,Pyriproxyfen,95737-68-1,0,matched,canonical_smiles,484.0,2-[1-Methyl-2-(4-phenoxyphenoxy)ethoxy]pyridine,0.0,True
62,Spirodiclofen,148477-71-8,0,matched,canonical_smiles,702.0,"2,2-Dimethylbutanoic acid, 3-(2,4-Dichlorophenyl)-2-oxo-1-oxaspiro[4.5]dec-3-en-4-yl ester",0.0,True
63,Spiromesifen,283594-90-1,0,matched,canonical_smiles,955.0,"3,3-Dimethylbutanoic acid 2-oxo-3-(2,4,6-trimethylphenyl)-1-oaxspiro[4.4]non-3-en-4-yl ester",0.0,True
64,Tefluthrin,391634-71-2,1,not_in_master,,,,,
65,Thiacloprid,111988-49-9,0,matched,canonical_smiles,989.0,[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide,0.0,True
66,Thiamethoxam,153719-23-4,1,matched,cas,671.0,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",1.0,True
67,Thidiazuron,51707-55-2,0,matched,canonical_smiles,890.0,"N-Phenyl-N'-1,2,3-thiadiazol-5-yl-urea",0.0,True
68,Thiobencarb,28249-77-6,0,matched,canonical_smiles,352.0,"N,N-Diethylcarbamothioic acid S-[(4-chlorophenyl)methyl] ester",0.0,True
69,Thiodicarb,59669-26-0,1,matched,cas,436.0,"N,N'-[Thiobis[(methylimino)carbonyloxy]]bisethanimidothioic acid dimethyl ester",1.0,True
70,Triadimenol,55219-65-3,0,matched,canonical_smiles,421.0,"beta-(4-Chlorophenoxy)-alpha-(1,1-dimethylethyl)-1H-1,2,4-triazole-1-ethanol",0.0,True
71,Triclopyr,55335-06-3,0,matched,canonical_smiles,200.0,"2-[(3,5,6-Trichloro-2-pyridinyl)oxy]acetic acid",0.0,True
72,Trifloxystrobin,141517-21-7,0,matched,cas,577.0,(alphaE)-alpha-(Methoxyimino)-2-[[[(E)-[1-[3-(trifluoromethyl)phenyl]ethylidene]amino]oxy]methyl]benzeneacteic acid methyl ester,0.0,True
73,Triforine,26644-46-2,0,matched,canonical_smiles,854.0,"N,N'-[1,4-Piperazinediylbis(2,2,2-trichloroethylidene)]bis-formamide",0.0,True
